Meryl Streep
Tom Hanks
Jack Nicholson
Katharine Hepburn
Daniel Day-Lewis
Frances McDormand
Robert De Niro
Cate Blanchett
Al Pacino
Ingrid Bergman
Dustin Hoffman
Jodie Foster
Anthony Hopkins
Elizabeth Taylor
Morgan Freeman
Maggie Smith
Leonardo DiCaprio
Helen Mirren
Denzel Washington
Julia Roberts
Marlon Brando
Audrey Hepburn
Sean Connery
Humphrey Bogart
Bette Davis
James Stewart
Julie Andrews
Gregory Peck
Sophia Loren
Paul Newman
Cary Grant
Vivien Leigh
Clark Gable
Shirley MacLaine
Sidney Poitier
Jane Fonda
Barbra Streisand
Michael Caine
Diane Keaton
Gene Hackman
Susan Sarandon
Robert Redford
Emma Thompson
Judi Dench
Viola Davis
Nicole Kidman
Kevin Spacey
Charlize Theron
Robin Williams
Kate Winslet
Tom Cruise
Julianne Moore
Brad Pitt
Johnny Depp
Angelina Jolie
George Clooney
Natalie Portman
Matt Damon
Sandra Bullock
Will Smith
Halle Berry
Russell Crowe
Marion Cotillard
Christian Bale
Hilary Swank
Jim Carrey
Penélope Cruz
Joaquin Phoenix
Gwyneth Paltrow
Philip Seymour Hoffman
Reese Witherspoon
Edward Norton
Juliette Binoche
Ben Kingsley
Holly Hunter
Geoffrey Rush
Kathy Bates
Jeff Bridges
Jessica Lange
Robert Duvall
Sally Field
Tommy Lee Jones
Javier Bardem
Christopher Walken
Ellen Burstyn
Gary Oldman
Sissy Spacek
Ian McKellen
Faye Dunaway
Forest Whitaker
Glenn Close
Christopher Plummer
Anthony Quinn
Diane Lane
Gene Kelly
Annette Bening
John Travolta
Michelle Pfeiffer
Kevin Costner
Helena Bonham Carter
Willem Dafoe
Laura Dern
Bill Murray
Sigourney Weaver
Samuel L. Jackson
Tilda Swinton
Harrison Ford
Renée Zellweger
Colin Firth
Judy Garland
Sean Penn
Laurence Olivier
Catherine Zeta-Jones
Ralph Fiennes
Whoopi Goldberg
Richard Gere
Jessica Chastain
Martin Sheen
Keira Knightley
Alec Guinness
Winona Ryder
Meg Ryan
Benicio del Toro
Emily Blunt
John Malkovich
Tim Robbins
Jennifer Lawrence
Alec Baldwin
Kate Hudson
Michael Douglas
Rachel Weisz
Kenneth Branagh
Laura Linney
Scarlett Johansson
Liam Neeson
Naomi Watts
Gary Sinise
Saoirse Ronan
John Goodman
Patricia Arquette
Steve Buscemi
Octavia Spencer
Jeff Daniels
Amy Adams
Don Cheadle
Marisa Tomei
Ed Harris
Brie Larson
Ben Stiller
Jennifer Connelly
Mark Ruffalo
Greta Garbo
Hugh Jackman
Audrey Tautou
Clint Eastwood
Emma Stone
Woody Harrelson
Allison Janney
Robert Downey Jr.
Diane Kruger
Tom Hardy
Toni Collette
John C. Reilly
Viggo Mortensen
Rooney Mara
Alan Rickman
Lupita Nyong'o
Paul Giamatti
Carey Mulligan
Chiwetel Ejiofor
Casey Affleck
Elizabeth Olsen
Michael Fassbender
Margot Robbie
Ryan Gosling
Meryl Streep
Viola Davis
Mahershala Ali
Emma Thompson
Christoph Waltz
Chadwick Boseman
Olivia Colman
Timothée Chalamet
Viola Davis
Benedict Cumberbatch
Saoirse Ronan
Joaquin Phoenix
Frances McDormand
Adam Driver
Tilda Swinton
Rami Malek
Kristen Stewart
Gary Oldman
Melissa McCarthy
Daniel Kaluuya
Charlize Theron
Eddie Redmayne
Jennifer Lawrence
Jake Gyllenhaal
Gal Gadot
Idris Elba
Emily Blunt
Chris Hemsworth
Anne Hathaway
Chris Evans
Zoe Saldana
